department,value
police,428.8
fire,164.98
public works,152.63
community planning & eco. dev.,91.36
finance & property services,57.03
regulatory services,50.09
health,29.25
attorney,24.78
911,23.23
city coordinator,20.08
human resources,19.89
assessor,14.27
city council,12.55
general fund contingency,11.66
civil rights,10.79
311,9.87
elections,9.83
city clerk,9.13
mayor,5.76
communications,5.46
intergovernmental relations,3.62
neighborhood & comm. relations,3.4
emergency management,2.71
internal audit,1.85
