department,value
education,1388.4
miscellaneous,1154.74
pension contributions,1124.9
social services,902.01
police,604.06
debt service,323.41
fire,210.73
sanitation,199.2
correction,166.65
environmental protect.,143.42
admin for children's services,116.67
homeless services,111.53
city university of new york,96.74
health and mental hygiene,90.84
transportation,69.01
youth & community dev,68.05
info tech & telecomm,56.51
health and hospitals,55.51
parks and recreation,48.82
citywide admin service,37.87
finance,34.33
aging,29.16
law,25.05
housing,22.79
cultural affairs,22.47
