department,value
police,339.14
fire,194.42
parks and recreation,58.34
contingencies,35.81
information technology,24.72
library,23.71
municipal court,18.44
finance,14.73
human services,11.95
street transportation,11.24
city prosecutor,10.28
public works,9.84
neighborhood services,8.35
human resources,6.63
law,4.07
city clerk and elections,3.85
office of arts and culture,3.47
comm. & eco. dev.,3.36
public defender,3.14
city council,2.73
planning and dev. services,2.58
budget and research,2.15
city auditor,1.87
city manager,1.61
equal opportunity,1.6
