department,value
police,335.05
fire,190.88
parks & recreation,131.34
management & finance,71.69
housing bureau,51.57
contingency,24.59
special appropriations,19.08
city attorney,17.27
debt service,17.19
community and civic life,16.87
city auditor,15.35
planning & sustainability,15.05
prosper portland,9.79
community technology,5.68
emergency management,4.91
mayor,4.87
city budget office,4.05
equity & human rights,2.74
government relations,2.56
public affairs,2.11
overhead recovery true-up,1.87
public safety,1.6
public utilities,1.6
public works,1.59
